1 繫辭上:	Xi Ci I:
聖人之大寶曰位。	 What is most precious for the sage is to get the (highest) place - (in which he can be the human representative of heaven and earth). 
何以守位曰仁，何以聚人曰財。	What will guard this position for him? Men. How shall he collect a large population round him? 
理財正辭，禁民為非曰義。	By the power of his wealth. The right administration of that wealth, correct instructions to the people, and prohibitions against wrong-doing; - these constitute his righteousness.
2 繫辭下:	Xi Ci II:
古者包犧氏之王天下也，	Anciently, when Bao-xi had come to the rule of all under heaven, 
仰則觀象於天，俯則觀法於地，	looking up, he contemplated the brilliant forms exhibited in the sky, and looking down he surveyed the patterns shown on the earth. 
觀鳥獸之文，與地之宜，	He contemplated the ornamental appearances of birds and beasts and the (different) suitabilities of the soil. 
近取諸身，遠取諸物，	Near at hand, in his own person, he found things for consideration, and the same at a distance, in things in general. 
於是始作八卦，以通神明之德，以類萬物之情。	On this he devised the eight trigrams, to show fully the attributes of the spirit-like and intelligent (operations working secretly), and to classify the qualities of the myriads of things.
作結繩而為罔罟，以佃以漁，	He invented the making of nets of various kinds by knitting strings, both for hunting and fishing. 
蓋取諸離。	The idea of this was taken, probably, from Lu (the third trigram, and thirtieth hexagram).
包犧氏沒，神農氏作，	On the death of Bao-xi, there arose Shen-nong (in his place). 
斲木為耜，揉木為耒，	He fashioned wood to form the share, and bent wood to make the plough-handle. 
耒耨之利，以教天下，蓋取諸益。	The advantages of ploughing and weeding were then taught to all under heaven. The idea of this was taken, probably, from Yi (the forty-second hexagram).
日中為市，致天下之民，聚天下之貨，	He caused markets to be held at midday, thus bringing together all the people, and assembling in one place all their wares. 
交易而退，各得其所，	They made their exchanges and retired, every one having got what he wanted. 
蓋取諸噬嗑。	The idea of this was taken, probably, from Shi He (the twenty-first hexagram).
神農氏沒，黃帝、堯、舜氏作，	After the death of Shen-nong, there arose Huang Di, Yao, and Shun. 
通其變，使民不倦，	They carried through the (necessarily occurring) changes, so that the people did (what was required of them) without being wearied; 
神而化之，使民宜之。	yea, they exerted such a spirit-like transformation, that the people felt constrained to approve their (ordinances) as right. 
易窮則變，	When a series of changes has run all its course, another change ensues. 
變則通，通則久。	When it obtains free course, it will continue long. 
是以自天祐之，吉无不利，	Hence it was that 'these (sovereigns) were helped by Heaven; they had good fortune, and their every movement was advantageous.' 
黃帝、堯、舜垂衣裳而天下治，	Huang Di, Yao, and Shun (simply) wore their upper and lower garments (as patterns to the people), and good order was secured all under heaven. 
蓋取諸乾坤。	The idea of all this was taken, probably, from Qian and Kun (the first and eighth trigrams, or the first and second hexagrams).
刳木為舟，剡木為楫，	They hollowed out trees to form canoes; they cut others long and thin to make oars. 
舟楫之利，以濟不通，	Thus arose the benefit of canoes and oars for the help of those who had no means of intercourse with others. 
致遠以利天下，	They could now reach the most distant parts, and all under heaven were benefited. 
蓋取諸渙。	The idea of this was taken, probably, from Huan (the fifty-ninth hexagram).
服牛乘馬，引重致遠，以利天下，	They used oxen (in carts) and yoked horses (to chariots), thus providing for the carriage of what was heavy, and for distant journeys - thereby benefiting all under the sky. 
蓋取諸隨。	The idea of this was taken, probably, from Sui (the seventeenth hexagram).
重門擊柝，以待暴客，	They made the (defence of the) double gates, and (the warning of) the clapper, as a preparation against the approach of marauding visitors. 
蓋取諸豫。	The idea of this was taken, probably, from Yu (the sixteenth hexagram).
斷木為杵，掘地為臼，	They cut wood and fashioned it into pestles; they dug in the ground and formed mortar's. 
臼杵之利，萬民以濟，	Thus the myriads of the people received the benefit arising from the use of the pestle and mortar. 
蓋取諸小過。	The idea of this was taken, probably, from Xiao Guo (the sixty-second hexagram).
弦木為弧，剡木為矢，	They bent wood by means of string so as to form bows, and sharpened wood so as to make arrows. 
弧矢之利，以威天下，	This gave the benefit of bows and arrows, and served to produce everywhere a feeling of awe. 
蓋取諸睽。	The idea of this was taken, probably, from Kui (the thirty-eighth hexagram).
上古穴居而野處，	In the highest antiquity they made their homes (in winter) in caves, and (in summer) dwelt in the open country. 
後世聖人易之以宮室，上棟下宇，以待風雨，	In subsequent ages, for these the sages substituted houses, with the ridge-beam above and the projecting roof below, as a provision against wind and rain. 
蓋取諸大壯。	The idea of this was taken, probably, from Da Zhuang (the thirty-fourth hexagram).
古之葬者，厚衣之以薪，葬之中野，	When the ancients buried their dead, they covered the body thickly with pieces of wood, having laid it in the open country. 
不封不樹，喪期无數。	They raised no mound over it, nor planted trees around; nor had they any fixed period for mourning. 
後世聖人易之以棺槨，	In subsequent ages the sages substituted for these practices the inner and outer coffins. 
蓋取諸大過。	The idea of this was taken, probably, from Da Guo (the twenty-eighth hexagram).
上古結繩而治，	In the highest antiquity, government was carried on successfully by the use of knotted cords (to preserve the memory of things). 
後世聖人易之以書契，	In subsequent ages the sages substituted for these written characters and bonds. 
百官以治，萬民以察，	By means of these (the doings of) all the officers could be regulated, and (the affairs of) all the people accurately examined. 
蓋取諸夬。	The idea of this was taken, probably, from Guai (the forty-third hexagram).
繫辭下:	3 Xi Ci II:
是故，易者，象也，	Therefore what we call the Yi is (a collection of) emblematic lines. 
象也者像也。	They are styled emblematic as being resemblances. 
彖者，材也，	What we call the Tuan (or king Wen's explanations) are based on the significance (of each hexagram as a whole). 
爻也者，效天下之動者也。	We call the lines (of the figures) Yao from their being according to the movements taking place all under the sky. 
是故，吉凶生，而悔吝著也。	In this way (we see) the rise of good fortune and evil, and the manifestation of repentance and regret.
4 繫辭下:	Xi Ci II:
陽卦多陰，陰卦多陽，	In the Yang trigrams (or those of the undivided line) there are more of the Yin lines, and in the Yin trigrams (or those of the divided line) there are more of the Yang lines. 
其故何也？	What is the cause of this? 
陽卦奇，陰卦偶。	It is because the Yang lines are odd (or made by one stroke), and the Yin lines are even (or. made by two strokes). 
其德行何也？	What (method of) virtuous conduct is thus intimated? 
陽一君而二民，君子之道也。	In the Yang trigrams we have one ruler, and two subjects, - suggesting the way of the superior man. 
陰二君而一民，小人之道也。	In the Yin trigrams we have two rulers, and one subject, - suggesting the way of the small man.
5 繫辭下:	Xi Ci II:
易曰：「憧憧往來，朋從爾思。」	It is said in the Yi, 'Full of anxious thoughts you go and come; (only) friends will follow you and think with you.' 
子曰：「天下何思何慮？	The Master said: - 'In all (the processes taking place) under heaven, what is there of thinking? what is there of anxious scheming? 
天下同歸而殊塗，一致而百慮，	They all come to the same (successful) issue, though by different paths; there is one result, though there might be a hundred anxious schemes. 
天下何思何慮？」	What is there of thinking? what is there of anxious scheming?'
「日往則月來，月往則日來，日月相推而明生焉。	The sun goes and the moon comes; the moon goes and the sun comes; - the sun and moon thus take the place each of the other, and their shining is the result. 
寒往則暑來，暑往則寒來，寒暑相推而歲成焉。	The cold goes and the heat comes; the heat goes and the cold comes; - it is by this mutual succession of the cold and heat that the year is completed. 
往者屈也，來者信也，屈信相感而利生焉。」	That which goes becomes less and less, and that which comes waxes more and more; - it is by the influence on each other of this contraction and expansion that the advantages (of the different conditions) are produced.
「尺蠖之屈，以求信也。	When the looper coils itself up, it thereby straightens itself again; 
龍蛇之蟄，以存身也。	when worms and snakes go into the state of hybernation, they thereby keep themselves alive. 
精義入神，以致用也。	(So), when we minutely investigate the nature and reasons (of things), till we have entered into the inscrutable and spirit-like in them, we attain to the largest practical application of them; 
利用安身，以崇德也。	when that application becomes the quickest and readiest, and all personal restfulness is secured, our virtue is thereby exalted. 
過此以往，未之或知也。	Going on beyond this, we reach a point which it is hardly possible to know. 
窮神知化，德之盛也。」	We have thoroughly comprehended the inscrutable and spirit-like, and know the processes of transformation; - this is the fulness of virtue.
易曰：「困于石，據于蒺蔾，	It is said in the Yi, '(The third line shows its subject) distressed before a rock, and trying to lay hold of thorns; 
入于其宮，不見其妻，凶。」	entering into his palace and not seeing his wife: - there will be evil.' 
子曰：「非所困而困焉，名必辱。	The Master said: - 'If one be distressed by what need not distress him, his name is sure to be disgraced; 
非所據而據焉，身必危。	if he lay hold on what he should not touch, his life is sure to be imperilled. 
既辱且危，死期將至，妻其可得見耶？」	In disgrace and danger, his death will (soon) come; - is it possible for him in such circumstances to see his wife?'
易曰：「公用射隼，于高墉之上，獲之无不利。」	It is said in the Yi, 'The duke with (his bow) shoots at the falcon on the top of the high wall; he hits it: - his every movement will be advantageous.' 
子曰：「隼者禽也，弓矢者器也，射之者人也。	The Master said: - 'The falcon is a bird (of prey); the bow and arrow is a weapon (of war); the shooter is a man. 
君子藏器於身，待時而動，何不利之有？	The superior man keeps his weapon concealed about his person, and waits for the proper time to move; - doing this, how should his movement be other than successful? 
動而不括，是以出而有獲，	There is nothing to fetter or embarrass his movement; and hence, when he comes forth, he succeeds in his object. 
語成器而動者也。」	The language speaks of movement when the instrument necessary to it is ready and perfect.'
子曰：「小人不恥不仁，不畏不義，	The Master said: - 'The small man is not ashamed of what is not benevolent, nor does he fear to do what is not righteous. 
不見利不勸，不威不懲，	Without the prospect of gain he does not stimulate himself to what is good, nor does he correct himself without being moved. 
小懲而大誡，此小人之福也。	Self-correction, however, in what is small will make him careful in what would be of greater consequence; - and this is the happiness of the small man. 
易曰：『履校滅趾无咎，此之謂也』。」	It is said in the Yi, "His feet are in the stocks, and he is disabled in his toes: - there will be no (further) occasion for blame."'
「善不積，不足以成名；	If acts of goodness be not accumulated, they are not sufficient to give its finish to one's name; 
惡不積，不足以滅身。	if acts of evil be not accumulated, they are not sufficient to destroy one's life. 
小人以小善為无益，而弗為也，	The small man thinks that small acts of goodness are of no benefit, and does not do them; 
以小惡為无傷，而弗去也，	and that small deeds of evil do no harm, and does not abstain from them. 
故惡積而不可掩，罪大而不可解。	Hence his wickedness becomes great till it cannot be covered, and his guilt becomes great till it cannot be pardoned. 
易曰：『何校滅耳凶』。」	This is what the Yi says, 'He wears the cangue and his ears are destroyed: - there will be evil.'
子曰：「危者，安其位者也；	The Master said: - 'He who keeps danger in mind is he who will rest safe in his seat; 
亡者，保其存者也；	he who keeps ruin in mind is he who will preserve his interests secure; 
亂者，有其治者也。	he who sets the danger of disorder before him is he who will maintain the state of order. 
是故，君子安而不忘危，	Therefore the superior man, when resting in safety, does not forget that danger may come; 
存而不忘亡，治而不忘亂；	when in a state of security, he does not forget the possibility of ruin; and when all is in a state of order, he does not forget that disorder may come. 
是以身安而國家可保也。	Thus his person is kept safe, and his states and all their clans can be preserved. 
易曰：『其亡其亡，繫于苞桑』。」	This is according to what the Yi says, "(Let him say), 'Shall I perish? shall I perish?' (so shall this state be firm, as if) bound to a clump of bushy mulberry trees."'
子曰：「德薄而位尊，知小而謀大，	The Master said: - 'Virtue small and office high; wisdom small and plans great; strength small and burden heavy: - 
力小而任重，鮮不及矣，	where such conditions exist, it is seldom that they do not end (in evil). 
易曰：『鼎折足，覆公餗，其形渥，凶。』言不勝其任也。」	As is said in the Yi, "The tripod's feet are overthrown, and the ruler's food is overturned. The body of him (who is thus indicated) is wet (with shame):there will be evil."'
子曰：「知幾其神乎？	The Master said: - 'Does not he who knows the springs of things possess spirit-like wisdom? 
君子上交不諂，下交不瀆，其知幾乎，	The superior man, in his intercourse with the high, uses no flattery, and, in his intercourse with the low, no coarse freedom: - does not this show that he knows the springs of things? 
幾者動之微，吉之先見者也，	Those springs are the slight beginnings of movement, and the earliest indications of good fortune (or ill). 
君子見幾而作，不俟終日。	The superior man sees them, and acts accordingly without waiting for (the delay of) a single day. 
易曰：『介于石，不終日，貞吉。』	As is said in the Yi, "He is firm as a rock, (and acts) without the delay of a single day. With firm goodness there will be good fortune." 
介如石焉，寧用終日，斷可識矣，	Firm as a rock, how should he have to wait a single day to ensure his knowing (those springs and his course)? 
君子知微知彰，知柔知剛，萬夫之望。」	The superior man knows the minute and the manifested; he knows what is weak, and what is strong: - he is a model to ten thousand.'
子曰：「顏氏之子，其殆庶幾乎？	The Master said: - 'I may venture to say that the son of the Yan family had nearly attained (the standard of perfection). 
有不善未嘗不知，知之未嘗復行也。	If anything that he did was not good, he was sure to become conscious of that; and when he knew it, he did not do the thing again. 
易曰：『不遠復，无祇悔，元吉。』」	As is said in the Yi, "(The first line shows its subject) returning from an error that has not led him far away. There is no occasion for repentance. There will be great good."'
天地絪縕，萬物化醇，	There is an intermingling of the genial influences of heaven and earth, and transformation in its various forms abundantly proceeds. 
男女構精，萬物化生，	There is an intercommunication of seed between male and female, and transformation in its living types proceeds. 
易曰：『三人行，則損一人；一人行，則得其友。』言致一也。	What is said in the Yi, 'Three individuals are walking together and one is made to disappear; there is (but) one man walking, and he gets his mate,' tells us of the effort (in nature) at oneness (of operation).
子曰：「君子安其身而後動，	The Master said: - 'The superior man (in a high place) composes himself before he (tries to) move others; 
易其心而後語，	makes his mind restful and easy before he speaks; 
定其交而後求，	settles (the principles of) his intercourse with others before he seeks anything from them. 
君子脩此三者，故全也，	The superior man cultivates these three things, and so is complete. 
危以動，則民不與也，	If he try to move others while he is himself in unrest, the people will not (act) with him; 
懼以語，則民不應也，	if he speak while he is himself in a state of apprehension, the people will not respond to him; 
无交而求，則民不與也，	if without (certain principles of) intercommunication, he issue his requests, the people will not grant them. 
莫之與，則傷之者至矣。	When there are none to accord with him, those who (work to) injure him will make their appearance. 
易曰：『莫益之，或擊之，	As is said in the Yi, "(We see one) to whose advantage none will contribute, while some will seek to assail him. 
立心勿恆，凶。』。」	He observes no regular rule in the ordering of his heart: - there will be evil."'
6 繫辭下:	Xi Ci II:
子曰：「乾坤其易之門邪？	The Master said: - '(The trigrams) Qian and Kun may be regarded as the gate of the Yi.' 
乾，陽物也；	Qian represents what is of the yang nature (bright and active); 
坤，陰物也；	Kun what is of the yin nature (shaded and inactive). 
陰陽合德，而剛柔有體，	These two unite according to their qualities, and there comes the embodiment of the result by the strong and weak (lines). 
以體天地之撰，以通神明之德，	In this way we have the phenomena of heaven and earth visibly exhibited, and can comprehend the operation of the spiritual intelligence. 
其稱名也雜而不越，於稽其類，	The appellations and names (of the diagrams and lines) are various, but do not go beyond (what is to be ascribed to the operation of these two conditions). 
其衰世之意邪？」	When we examine the nature and style (of the appended explanations), they seem to express the ideas of a decaying age. 
夫易，彰往而察來，	The Yi exhibits the past, and (teaches us to) discriminate (the issues of) the future; 
而微顯闡幽，	it makes manifest what is minute, and brings to light what is obscure. 
開而當名，辨物正言，斷辭則備矣，	(Then king Wen) opened (its symbols), and distinguished things in accordance with its names, so that all his words were correct and his explanations decisive; - (the book) was now complete. 
其稱名也小，其取類也大，	The appellations and names (of the diagrams and lines) are but small matters, but the classes of things comprehended under them are large. 
其旨遠，其辭文，	Their scope reaches far, and the explanations attached to them are elegant. 
其言曲而中，其事肆而隱，	The words are indirect, but to the point; the matters seem plainly set forth, but there is a secret principle in them. 
因貳以濟民行，以明失得之報。	Their object is, in cases that are doubtful, to help the people in their conduct, and to make plain the recompenses of good and evil.
7 繫辭下:	Xi Ci II:
易之興也，其於中古乎，	Was it not in the middle period of antiquity that the Yi began to flourish? 
作易者，其有憂患乎。	Was not he who made it familiar with anxiety and calamity?
是故，履，德之基也；	Therefore (the 10th diagram), Lu, shows us the foundation of virtue; (the 15th), 
謙，德之柄也；	Xian, its handle; (the 24th), 
復，德之本也；	Fu, its root; (the 32nd), 
恆，德之固也；	Heng, its solidity; (the 41st), 
損，德之脩也；	Sun, its cultivation; (the 42nd), 
益，德之裕也；	Yi, its abundance; (the 47th), 
困，德之辨也；	Kun, its exercise of discrimination; (the 48th), 
井，德之地也；	Jing, its field and (the 57th), 
巽，德之制也。	Xun, its regulation.
履，和而至；	In Lu we have the perfection of harmony; i
謙，尊而光；	n Xian, we have the giving honour to others, and the distinction thence arising; 
復，小而辨於物；	in Fu we have what is small (at first), but there is in it a (nice) discrimination of (the qualities of) things; 
恆，雜而不厭；	in Ming we have a mixed experience, but without any weariness; 
損，先難而後易；	in Sun we have difficulty in the beginning and ease in the end; 
益，長裕而不設；	in Yi we have abundance of growth without any contrivance; 
困，窮而通；	in Kun we have the pressure of extreme difficulty, ending in a free course,; 
井，居其所而遷，	in Jing we have abiding in one's place and at the same time removal (to meet the movement of others); 
巽，稱而隱。	and in Xun we have the weighing of things (and action accordingly), but secretly and unobserved.
履以和行，謙以制禮，	(The use of) Lu appears in the harmony of the conduct; of Xian, in the regulation of ceremonies; 
復以自知，恆以一德，	of Fu, in self-knowledge; of Heng, in uniformity of virtue; 
損以遠害，益以興利，	of Sun, in keeping what is harmful at a distance; of Yi, in the promotion of what is advantageous; 
困以寡怨，井以辯義，	of Kun, in the diminution of resentments; of Jing, in the discrimination of what is righteous; 
巽以行權。	and of Xun, in the doing of what is appropriate to time and to circumstances.
8 繫辭下:	Xi Ci II:
易之為書也不可遠，為道也屢遷，	The Yi is a book which should not be let slip from the mind. Its method (of teaching) is marked by the frequent changing (of its lines). 
變動不居，周流六虛，	They change and move without staying (in one place), flowing about into any one of the six places of the hexagram. 
上下无常，剛柔相易，不可為典要，唯變所適，	They ascend and descend, ever inconstant. The strong and the weak lines change places, so that an invariable and compendious rule cannot be derived from them; - it must vary as their changes indicate. 
其出入以度，	The goings forth and comings in (of the lines) are according to rule and measure. 
外內使知懼，	(People) learn from them in external and internal affairs to stand in awe. 
又明於憂患與故，	(The book), moreover, makes plain the nature of anxieties and calamities, and the causes of them. 
无有師保，如臨父母，	Though (its students) have neither master nor guardian, it is as if their parents drew near to them. 
初率其辭，而揆其方，	Beginning with taking note of its explanations, we reason out the principles to which they point. 
既有典常，	We thus find out that it does supply a constant and standard rule. 
苟非其人，道不虛行。	But if there be not the Proper men (to carry this out), the course cannot be pursued without them.
9 繫辭下:	Xi Ci II:
易之為書也，原始要終，以為質也，	The Yi is a book in which the form (of each diagram) is determined by the lines from the first to the last, which must be carefully observed.
六爻相雜，唯其時物也，	The six lines are mixed together, according to the time (when they enter the figure) and their substance (as whole and divided).
其初難知，其上易知，本末也，	There is difficulty in knowing (the significance of) the first line, while to know that of the topmost line is easy; - they form the beginning and the end (of the diagram).
初辭擬之，卒成之終，	The explanation of the first line tasks the calculating (of the makers), but in the end they had (but) to complete this.
若夫雜物撰德，辨是與非，則非其中爻不備。	As to the variously-disposed intermediate lines with their diverse formations, for determining their qualities, and discriminating the right and wrong in them, we should be unprovided but for the explanations of them.
噫，亦要存亡吉凶，則居可知矣，	Yea, moreover, if we wish to know what is likely to be preserved and what to perish, what will be lucky and what will be unlucky, this may easily be known (from the explanations of the different lines).
知者觀其彖辭，則思過半矣。	But if the wise will look at the explanations of the entire diagrams, their thoughts will embrace more than half of this knowledge.
二與四同功，而異位，其善不同，二多譽，四多懼，近也，	The second and fourth lines are of the same quality (as being in even places), but their positions (with respect to the fifth line) are different, and their value is not the same; but the second is the object of much commendation, and the fourth the subject of many apprehensions, - from its nearness (to that line).
柔之為道，不利遠者，其要无咎，	But for a line in a place of weakness it is not good to be far (from the occupant of the place of strength), and what its subject should desire in such a case is (merely) to be without blame.
其用柔中也，	The advantage (here) is in (the second line) being in the central place.
三與五同功，而異位，	The third and fifth lines are of the same quality, (as being in odd places), but their positions are different; 
三多凶，五多功，貴賤之等也，	and the (occupant of) the third meets with many misfortunes, while the occupant of the fifth achieves much merit: - this arises from one being in the noble position and the other in the mean.
其柔危，其剛勝邪？	Are they occupied by the symbol of weakness? There will be peril. By that of strength? There will be victory.
10 繫辭下:	Xi Ci II:
易之為書也，廣大悉備，	The Yi is a book of wide comprehension and great scope, embracing everything.
有天道焉，有人道焉，有地道焉。	There are in it the way of heaven, the way of man, and the way of earth.
兼三材而兩之，故六六者，	It then takes (the lines representing) those three Powers, and doubles them till they amount to six.
非它也，三材之道也，	What these six lines show is simply this, - the way of the three Powers.
道有變動，故曰爻，	This way is marked by changes and movements, and hence we have the imitative lines.
爻有等，故曰物，	Those lines are of different grades (in the trigrams), and hence we designate them from their component elements.
物相雜，故曰文，	These are mixed together, and elegant forms arise.
文不當，故吉凶生焉。	When such forms are not in their appropriate places, the ideas of good fortune and bad are thus produced.
11 繫辭下:	Xi Ci II:
易之興也，其當殷之末世，周之盛德邪，當文王與紂之事邪，	Was it not in the last age of Yin, when the virtue of Gou had reached its highest point, and during the troubles between king Wen and (the tyrant) Gou, that the (study of the Yi) began to flourish? 
是故其辭危，危者使平，易者使傾，	On this account the explanations (in the book) express (a feeling of) anxious apprehension, (and teach) how peril may be turned into security, and easy carelessness is sure to meet with overthrow.
其道甚大，百物不廢，	The method in which these things come about is very comprehensive, and must be acknowledged in every sphere of things.
懼以終始，其要无咎，	If at the beginning there be a cautious apprehension as to the end, there will probably be no error or cause for blame.
此之謂易之道也。	This is what is called the way of the Yi.
12 繫辭下:	Xi Ci II:
夫乾，天下之至健也，	(The hexagram) Qian represents the strongest of all under the sky.
德行恆易以知險，	Through this quality its operations are always manifested with ease, for it knows where there would be peril and embarrassment. 
夫坤，天下之至順也，	(The hexagram) Kun represents the most docile of all under the sky.
德行恆簡以知阻。	Through this quality its operations are always manifested with the promptest decision, for it knows where there would be obstruction.
能說諸心，能研諸侯之慮，	(The sages, who are thus represented, and who made the Yi,) were able to rejoice in heart (in the absolute truth of things), and were able (also) to weigh carefully all matters that could occasion anxiety; 
定天下之吉凶，成天下之亹亹者，	(thus) they fixed the good and bad fortune (of all things) under the sky, and could accomplish the things requiring strenuous efforts.
是故，變化云為，吉事有祥，	Therefore amid the changes and transformations (taking place in heaven and earth), and the words and deeds of men, events that are to be fortunate have their happy omens. 
象事知器，占事知來。	(The sages) knew the definite principles underlying the prognostications of the former class, and the future of those of the latter, (now to be) ascertained by divination.
天地設位，聖人成能。	The places of heaven and earth (in the diagrams) having been determined, the sages were able (by means of the Yi) to carry out and complete their ability. 
人謀鬼謀，百姓與能。	(In this way even) the common people were able to share with them in (deciding about) the counsels of men and the counsels of spiritual beings.
八卦以象告，	The eight trigrams communicate their information by their emblematic figures.
爻彖以情言，	The explanations appended to the lines and the completed figures tell how the contemplation of them affected (the makers).
剛柔雜居，而吉凶可見矣。	The strong and the weak lines appear mixed in them, and (thus) the good and the evil (which they indicate) can be seen.
變動以利言，	The changes and movements (which take place in the manipulation of the stalks and the formation of the diagrams) speak as from the standpoint of what is advantageous.
吉凶以情遷。	The (intimations of) good and evil vary according to the place and nature (of the lines).
是故愛惡相攻而吉凶生，	Thus they may indicate a mutual influence (in any two of them) of love or hatred, and good or evil is the result; or that mutual influence may be affected by the nearness of the lines to, 
遠近相取而悔吝生，	or their distance from, each other, and then repentance or regret is the result; 
情偽相感而利害生。	or the influence may be that of truth or of hypocrisy, and then the result is what is advantageous, or what is injurious.
凡易之情，近而不相得則凶，或害之，悔且吝。	In all these relations of the (lines in the) Yi, if two are near and do not blend harmoniously, there may be (all these results), - evil, or what is injurious, or occasion for repentance and regret.
將叛者其辭慚，	The language of him who is meditating a revolt (from the right) betrays his inward shame; 
中心疑者其辭枝，	that of him whose inward heart doubts about it diverges to other topics.
吉人之辭寡，	The words of a good man are few; 
躁人之辭多，	those of a coarse man are many.
誣善之人其辭游，	The words of one who slanders what is good are unsubstantial; 
失其守者其辭屈。	those of him who is losing what he ought to keep are crooked.
