^yb1 ䷀乾:	Qian:
象傳:	Xiang Zhuan:
有孚惕出，上合志也。	'He is possessed of sincerity; his (ground for) apprehension is dismissed:' - (the subjects of the lines) above agree in aim with him.
6 ䷈小畜:	Xiao Xu:
九五：有孚攣如，富以其鄰。	The fifth NINE, undivided, shows its subject possessed of sincerity, and drawing others to unite with him. Rich in resources, he employs his neighbours (in the same cause with himself).
象傳:	Xiang Zhuan:
有孚攣如，不獨富也。	'He is possessed of sincerity, and draws others to unite with him:' - he does not use only his own rich resources.
7 ䷈小畜:	Xiao Xu:
上九：既雨既處，	The topmost NINE, undivided, shows how the rain has fallen, and the (onward progress) is stayed - 
尚德載，	(so) must we value the full accumulation of the virtue (represented by the upper trigram). 
婦貞厲。月幾望，	But a wife (exercising restraint), however firm and correct she may be, is in a position of peril, (and like) the moon approaching to the full. 
君子征凶。	If the superior man prosecute his measures (in such circumstances), there will be evil.
象傳:	Xiang Zhuan:
既雨既處，德積載也。	'The rain has fallen and (the onward progress) is stayed:' - the power (denoted in the figure) has accumulated to the full. 
君子征凶，有所疑也。	'If the superior man prosecute his measures, there will be evil:' - he will find himself obstructed.
^yb10 ䷉履:	Lu:
履虎尾，不咥人，亨。	(Lu suggests the idea of) one treading on the tail of a tiger, which does not bite him. There will be progress and success.
彖傳:	Tuan Zhuan:
履，柔履剛也。	In Lu we have (the symbol of) weakness treading on (that of) strength. 
說而應乎乾，是以履虎尾，不咥人，亨。	(The lower trigram) indicates pleasure and satisfaction, and responds to (the upper) indicating strength. Hence (it is said), 'He treads on the tail of a tiger, which does not bite him; there will be progress and success.' 
剛中正，履帝位而不疚，光明也。	(The fifth line is) strong, in the centre, and in its correct place. (Its subject) occupies the God-(given) position, and falls into no distress or failure; - (his) action will be brilliant.
象傳:	Xiang Zhuan:
上天下澤，履；	(The trigram representing) the sky above, and below it (that representing the waters of) a marsh, form Lu. 
君子以辨上下，安民志。	The superior man, in accordance with this, discriminates between high and low, and gives settlement to the aims of the people.
2 ䷉履:	Lu:
初九：素履，往无咎。	The first NINE, undivided, shows its subject treading his accustomed path. If he go forward, there will be no error.
象傳:	Xiang Zhuan:
素履之往，獨行愿也。	'He treads his accustomed path and goes forward:' - singly and exclusively he carries out his (long-cherished) wishes.
3 ䷉履:	Lu:
九二：履道坦坦，幽人貞吉。	The second NINE, undivided, shows its subject treading the path that is level and easy - a quiet and solitary man, to whom, if he be firm and correct, there will be good fortune.
象傳:	Xiang Zhuan:
幽人貞吉，中不自亂也。	'A quiet and solitary man, to whom, being firm and correct, there will be good fortune:' - holding the due mean, he will not allow himself to be thrown into disorder.
4 ䷉履:	Lu:
六三：眇能視，跛能履，履虎尾，咥人，凶。	The third SIX, divided, shows a one-eyed man (who thinks he) can see; a lame man (who thinks he) can walk well; one who treads on the tail of a tiger and is bitten. (All this indicates) ill fortune. 
武人為于大君。	We have a (mere) bravo acting the part of a great ruler.
象傳:	Xiang Zhuan:
眇能視；不足以有明也。	'A one-eyed man (who thinks that he) can see:' - he is not fit to see clearly. 
跛能履；不足以與行也，	'A lame man (who thinks that he can) tread well:' - one cannot walk along with him. 
咥人之凶；位不當也。	'The ill fortune of being bitten' arises from the place not being the proper one for him. 
武人為于大君；志剛也。	'A (mere) bravo acting the part of a great ruler:' - this is owing to his aims being (too) violent.
5 ䷉履:	Lu:
九四：履虎尾，愬愬，終吉。	The fourth NINE, undivided, shows its subject treading on the tail of a tiger. He becomes full of apprehensive caution, and in the end there will be good fortune.
象傳:	Xiang Zhuan:
愬愬終吉，志行也。	'He becomes full of apprehensive caution, and in the end there will be good fortune:' - his aim takes effect.
6 ䷉履:	Lu:
九五：夬履，貞厲。	The fifth NINE, undivided, shows the resolute tread of its subject. Though he be firm and correct, there will be peril.
象傳:	Xiang Zhuan:
夬履貞厲，位正當也。	'He treads resolutely; and though he be firm and correct, there is peril:' - this is due to his being in the position that is correct and appropriate to him.
7 ䷉履:	Lu:
上九：視履考祥，其旋元吉。	The sixth NINE, undivided, tells us to look at (the whole course) that is trodden, and examine the presage which that gives. If it be complete and without failure, there will be great good fortune.
象傳:	Xiang Zhuan:
元吉在上，大有慶也。	'There will be great good fortune,' and that in the occupancy of the topmost line: - this is great matter for congratulation.
^yb11 ䷊泰:	Tai:
泰：小往大來，吉亨。	In Tai (we see) the little gone and the great come. (It indicates that) there will be good fortune, with progress and success.
彖傳:	Tuan Zhuan:
泰，小往大來，吉亨。	'The little come and the great gone in Tai, and its indication that there will be good fortune with progress and success'
則是天地交，而萬物通也；	 show to us heaven and earth in communication with each other, and all things in consequence having free course,
上下交，而其志同也。	 and (also) the high and the low, (superiors and inferiors), in communication with one another, and possessed by the same aim. 
內陽而外陰，內健而外順，內君子而外小人，	The inner (trigram) is made up of the strong and undivided lines, and the outer of the weak and divided; the inner is (the symbol of) strength, and the outer of docility; the inner (represents) the superior man, and the outer the small man. 
君子道長，小人道消也。	(Thus) the way of the superior man appears increasing, and that of the small man decreasing.
象傳:	Xiang Zhuan:
天地交泰，	(The trigrams for) heaven and earth in communication together form Tai. 
后以財成天地之道，輔相天地之宜，以左右民。	The (sage) sovereign, in harmony with this, fashions and completes (his regulations) after the courses of heaven and earth, and assists the application of the adaptations furnished by them, - in order to benefit the people.
2 ䷊泰:	Tai:
初九：拔茅茹，以其彙，征吉。	The first NINE, undivided, suggests the idea of grass pulled up, and bringing with it other stalks with whose roots it is connected. Advance (on the part of its subject) will be fortunate.
象傳:	Xiang Zhuan:
拔茅征吉，志在外也。	'The good fortune of advance, (as suggested by the emblem of) the grass pulled up,' arises from the will (of the party intended) being set on what is external to himself.
3 ䷊泰:	Tai:
九二：包荒，用馮河，不遐遺，朋亡，	The second NINE, undivided, shows one who can bear with the uncultivated, will cross the He without a boat, does not forget the distant, and has no (selfish) friendships. 
得尚于中行。	Thus does he prove himself acting in accordance with the course of the due Mean.
象傳:	Xiang Zhuan:
包荒，得尚于中行，以光大也。	'He bears with the uncultivated, and proves himself acting in accordance with the due mean:' - for (his intelligence is) bright and (his capacity is) great.
4 ䷊泰:	Tai:
九三：无平不陂，无往不復，艱貞无咎。	The third NINE, undivided, shows that, while there is no state of peace that is not liable to be disturbed, and no departure (of evil men) so that they shall not return, yet when one is firm and correct, as he realises the distresses that may arise, he will commit no error. 
勿恤其孚，于食有福。	There is no occasion for sadness at the certainty (of such recurring changes); and in this mood the happiness (of the present) may be (long) enjoyed.
象傳:	Xiang Zhuan:
无往不復，天地際也。	'There is no going away so that there shall not be a return' refers to this as the point where the interaction of heaven and earth takes place.
5 ䷊泰:	Tai:
六四：翩翩，不富，以其鄰，不戒以孚。	The fourth SIX, divided, shows its subject fluttering (down) - not relying on his own rich resources, but calling in his neighbours. (They all come) not as having received warning, but in the sincerity (of their hearts).
象傳:	Xiang Zhuan:
翩翩不富，皆失實也。	'He comes fluttering (down), not relying on his own rich resources:' - both he and his neighbours are out of their real (place where they are). 
不戒以孚，中心願也。	'They have not received warning, but (come) in the sincerity (of their hearts):' - this is what they have desired in the core of their hearts.
6 ䷊泰:	Tai:
六五：帝乙歸妹，以祉元吉。	The fifth six, divided, reminds us of (king) Di-yi's (rule about the) marriage of his younger sister. By such a course there is happiness and there will be great good fortune.
象傳:	Xiang Zhuan:
以祉元吉，中以行愿也。	'By such a course there is happiness, and there will be great good fortune:' - (the subject of the line) employs the virtue proper to his central position to carry his wishes into effect.
7 ䷊泰:	Tai:
上六：城復于隍，勿用師。	The sixth six, divided, shows us the city wall returned into the moat. It is not the time to use the army. 
自邑告命，貞吝。	(The subject of the line) may, indeed, announce his orders to the people of his own city; but however correct and firm he may be, he will have cause for regret.
象傳:	Xiang Zhuan:
城復于隍，其命亂也。	'The city wall returned back into the moat' shows how the (governmental) orders have (long) been in disorder.
^yb12 ䷋否:	Pi:
否之匪人，不利君子貞，大往小來。	In Pi there is the want of good understanding between the (different classes of) men, and its indication is unfavourable to the firm and correct course of the superior man. We see in it the great gone and the little come.
彖傳:	Tuan Zhuan:
否之匪人，不利君子貞。	'The want of good understanding between the (different classes of) men in Pi, and its indication as unfavourable to the firm and correct course of the superior man; 
大往小來，則是天地不交，而萬物不通也；	with the intimation that the great are gone and the little come:' - all this springs from the fact that in it heaven and earth are not in communication with each other, and all things in consequence do not have free course; 
上下不交，而天下无邦也。	and that the high and the low (superiors and inferiors) are not in communication with one another, and there are no (well-regulated) states under the sky. 
內陰而外陽，內柔而外剛，內小人而外君子。	The inner (trigram) is made up of the weak and divided lines, and the outer of the strong and undivided: the inner is (the symbol of) weakness, and the outer of strength; the inner (represents) the small man, and the outer the superior man. 
小人道長，君子道消也。	Thus the way of the small man appears increasing, and that of the superior man decreasing.
象傳:	Xiang Zhuan:
天地不交，否；	(The trigrams of) heaven and earth, not in intercommunication, form Pi. 
君子以儉德辟難，不可榮以祿。	The superior man, in accordance with this, restrains (the manifestation) of) his virtue, and avoids the calamities (that threaten him). There is no opportunity of conferring on him the glory of emolument.
2 ䷋否:	Pi:
初六：拔茅茹，以其彙，貞吉亨。	The first SIX, divided, suggests the idea of grass pulled up, and bringing with it other stalks with whose roots it is connected. With firm correctness (on the part of its subject), there will be good fortune and progress.
象傳:	Xiang Zhuan:
拔茅貞吉，志在君也。	'The good fortune through firm goodness, (suggested by) the pulling up of the grass,' arises from the will (of the parties intended) being bent on (serving) the ruler.
3 ䷋否:	Pi:
六二：包承。	The second SIX, divided, shows its subject patient and obedient. 
小人吉，大人否，亨。	To the small man (comporting himself so) there will be good fortune. If the great man (comport himself) as the distress and obstruction require, he will have success.
象傳:	Xiang Zhuan:
大人否亨，不亂群也。	'The great man, comporting himself as the distress and obstruction require, will have success: - 'he does not allow himself to be disordered by the herd (of small men).
4 ䷋否:	Pi:
六三：包羞。	The third SIX, divided, shows its subject ashamed of the purpose folded (in his breast).
象傳:	Xiang Zhuan:
包羞，位不當也。	That 'his shame is folded in his breast' is owing to the inappropriateness of his position.
5 ䷋否:	Pi:
九四：有命，无咎，疇離祉。	The fourth NINE, undivided, shows its subject acting in accordance with the ordination (of Heaven), and committing no error. His companions will come and share in his happiness.
象傳:	Xiang Zhuan:
有命无咎，志行也。	'He acts in accordance with the ordination (of Heaven), and commits no error:' - the purpose of his mind can be carried into effect.
6 ䷋否:	Pi:
九五：休否，大人吉。	In the fifth NINE, undivided, we see him who brings the distress and obstruction to a close,--the great man and fortunate. 
其亡其亡，繫于苞桑。	(But let him say), 'We may perish! We may perish!' (so shall the state of things become firm, as if) bound to a clump of bushy mulberry trees.
象傳:	Xiang Zhuan:
大人之吉，位正當也。	The good fortune of the great man' arises from the correctness of his position.
7 ䷋否:	Pi:
上九：傾否，先否後喜。	The sixth NINE, undivided, shows the overthrow (and removal of) the condition of distress and obstruction. Before this there was that condition. Hereafter there will be joy.
象傳:	Xiang Zhuan:
否終則傾，何可長也。	'The distress and obstruction having reached its end, it is overthrown and removed:' - how could it be prolonged?
^yb13 ䷌同人:	Tong Ren:
同人于野，亨。利涉大川，利君子貞。	Tong Ren (or 'Union of men') appears here (as we find it) in the (remote districts of the) country, indicating progress and success. It will be advantageous to cross the great stream. It will be advantageous to maintain the firm correctness of the superior man.
彖傳:	Tuan Zhuan:
同人，柔得位得中，而應乎乾，曰同人。	In Tong Ren the weak (line) has the place (of influence), the central place, and responds to (the corresponding line in) Qian (above); hence comes its name of Tong Ren (or 'Union of men'). 
同人曰，同人于野，亨。	Tong Ren says: - The language, 'Tong Ren appears here (as we find it) in (the remote districts of) the country, indicating progress and success,
利涉大川，乾行也。	 and that it will be advantageous to cross the great stream,' is moulded by its containing the strength (symbolled) in Qian. 
文明以健，中正而應，君子正也。	(Then) we have (the trigram indicating) elegance and intelligence, supported by (that indicating) strength; with the line in the central, and its correct, position, and responding (to the corresponding line above): - (all representing) the correct course of the superior man. 
唯君子為能通天下之志。	It is only the superior man who can comprehend and affect the minds of all under the sky.
象傳:	Xiang Zhuan:
天與火，同人；	(The trigrams for) heaven and fire form Tong Ren. 
君子以類族辨物。	The superior man, in accordance with this), distinguishes things according to their kinds and classes.
2 ䷌同人:	Tong Ren:
初九：同人于門，无咎。	The first NINE, undivided, (shows the representative of) the union of men just issuing from his gate. There will be no error.
象傳:	Xiang Zhuan:
出門同人，又誰咎也。	'(The representative of) the union of men is just issuing from his gate:' - who will blame him?
3 ䷌同人:	Tong Ren:
六二：同人于宗，吝。	The second SIX, divided, (shows the representative of) the union of men in relation with his kindred. There will be occasion for regret.
象傳:	Xiang Zhuan:
同人于宗，吝道也。	'(The representative of) the union of men appears in relation with his kindred:' - that is the path to regret.
4 ䷌同人:	Tong Ren:
九三：伏戎于莽，升其高陵，三歲不興。	The third NINE, undivided, (shows its subject) with his arms hidden in the thick grass, and at the top of a high mound. (But) for three years he makes no demonstration.
象傳:	Xiang Zhuan:
伏戎于莽，敵剛也。	'He hides his arms in the thick grass:' - because of the strength of his opponent. 
三歲不興，安行也。	'For three years he makes no demonstration:' - how can he do anything?
5 ䷌同人:	Tong Ren:
九四：乘其墉，弗克攻，吉。	The fourth NINE, undivided, (shows its subject) mounted on the city wall; but he does not proceed to make the attack (he contemplates). There will be good fortune.
象傳:	Xiang Zhuan:
乘其墉，義弗克也，其吉，則困而反則也。	'He is mounted on his city-wall;' but yielding to the right, 'he does not proceed to make the attack (he contemplated).' (Where it is said),'There will be good fortune,' (that shows how) he feels the strait he is in, and returns to the rule of law.
6 ䷌同人:	Tong Ren:
九五：同人，先號咷而後笑。	In the fifth NINE, undivided, (the representative of) the union of men first wails and cries out, and then laughs. 
大師克相遇。	His great host conquers, and he (and the subject of the second line) meet together.
象傳:	Xiang Zhuan:
同人之先，以中直也。	The first action of (the representative of) the union of men (here described) arises from his central position and straightforward character. 
大師相遇，言相克也。	'The meeting secured by his great host' intimates that the opponents of it have been overcome.
7 ䷌同人:	Tong Ren:
上九：同人于郊，无悔。	The topmost NINE, undivided, (shows the representative of) the union of men in the suburbs. There will be no occasion for repentance.
象傳:	Xiang Zhuan:
同人于郊，志未得也。	'(The representative of) the union of men appears in the suburbs:' - his object has not yet been attained.
^yb14 ䷍大有:	Da You:
大有：元亨。	Da You indicates that, (under the circumstances which it implies), there will be great progress and success.
彖傳:	Tuan Zhuan:
大有，柔得尊位，大中而上下應之，曰大有。	In Da You the weak (line) has the place of honour, is grandly central, and (the strong lines) above and below respond to it. Hence comes its name of Da You (Having what is Great). 
其德剛健而文明，應乎天而時行，是以元亨。	The attributes (of its component trigrams) are strength and vigour with elegance and brightness. (The ruling line in it) responds to (the ruling line in the symbol of) heaven, and (consequently) its action is (all) at the proper times. In this way (it is said to) indicate great progress and success.
象傳:	Xiang Zhuan:
火在天上，大有；	(The trigram for) heaven and (that of) fire above it form Da You. 
君子以遏惡揚善，順天休命。	The superior man, in accordance with this, represses what is evil and gives distinction to what is good, in sympathy with the excellent Heaven-conferred (nature).
2 ䷍大有:	Da You:
初九：无交害，匪咎，艱則无咎。	In the first NINE, undivided, there is no approach to what is injurious, and there is no error. Let there be a realisation of the difficulty (and danger of the position), and there will be no error (to the end).
象傳:	Xiang Zhuan:
大有初九，无交害也。	This first NINE, (undivided), of Da You shows no approach to what is injurious.
3 ䷍大有:	Da You:
九二：大車以載，有攸往，无咎。	In the second NINE, undivided, we have a large waggon with its load. In whatever direction advance is made, there will be no error.
象傳:	Xiang Zhuan:
大車以載，積中不敗也。	'A large waggon with its load' refers to the (virtue) accumulated (in the subject of the line), so that he will suffer no loss (in the conduct of affairs).
4 ䷍大有:	Da You:
九三：公用亨于天子，小人弗克。	The third NINE, undivided, shows us a feudal prince presenting his offerings to the Son of Heaven. A small man would be unequal (to such a duty).
象傳:	Xiang Zhuan:
公用亨于天子，小人害也。	'A feudal prince presents his offerings to the son of Heaven:' - a small man (in such a position) does (himself) harm.
5 ䷍大有:	Da You:
九四：匪其彭，无咎。	The fourth NINE, undivided, shows its subject keeping his great resources under restraint. There will be no error.
象傳:	Xiang Zhuan:
匪其彭，无咎；明辨晰也。	'He keeps his great resources under restraint:' - his wisdom discriminates clearly (what he ought to do).
6 ䷍大有:	Da You:
六五：厥孚交如，威如；吉。	The fifth SIX, divided, shows the sincerity of its subject reciprocated by that of all the others (represented in the hexagram). Let him display a proper majesty, and there will be good fortune.
象傳:	Xiang Zhuan:
厥孚交如，信以發志也。	'His sincerity is reciprocated by all the others:' - his sincerity serves to stir and call out what is in their minds. 
威如之吉，易而无備也。	'The good fortune springing from a display of proper majesty' shows how they might (otherwise) feel too easy, and make no preparation (to serve him).
7 ䷍大有:	Da You:
上九：自天祐之，吉无不利。	The topmost NINE, undivided, shows its subject with help accorded to him from Heaven. There will be good fortune, advantage in every respect.
象傳:	Xiang Zhuan:
大有上吉，自天佑也。	'The good fortune attached to the topmost line of Da You' arises from the help of Heaven.
^yb15 ䷎謙:	Qian:
謙：亨，君子有終。	Qian indicates progress and success. The superior man, (being humble as it implies), will have a (good) issue (to his undertakings).
彖傳:	Tuan Zhuan:
謙，亨，天道下濟而光明，	Qian indicates progress and success. It is the way of heaven to send down its beneficial influences below, where they are brilliantly displayed. 
地道卑而上行。	It is the way of earth, lying low, to send its influences upwards and (there) to act. 
天道虧盈而益謙，	It is the way of heaven to diminish the full and augment the humble. 
地道變盈而流謙，	It is the way of earth to overthrow the full and replenish the humble. 
鬼神害盈而福謙，	Spiritual Beings inflict calamity on the full and bless the humble. 
人道惡盈而好謙。	It is the way of men to hate the full and love the humble. 
謙尊而光，卑而不可踰，	Humility in a position of honour makes that still more brilliant; and in a low position men will not (seek to) pass beyond it. 
君子之終也。	Thus it is that 'the superior man will have a (good) issue (to his undertakings).'
象傳:	Xiang Zhuan:
地中有山，謙；	(The trigram for) the earth and (that of) a mountain in the midst of it form Qian. 
君子以裒多益寡，稱物平施。	The superior man, in accordance with this, diminishes what is excessive (in himself), and increases where there is any defect, bringing about an equality, according to the nature of the case, in his treatment (of himself and others).
2 ䷎謙:	Qian:
初六：謙謙君子，用涉大川，吉。	The first SIX, divided, shows us the superior man who adds humility to humility. (Even) the great stream may be crossed with this, and there will be good fortune.
象傳:	Xiang Zhuan:
謙謙君子，卑以自牧也。	'The superior man who adds humility to humility' is one who nourishes his (virtue) in lowliness.
3 ䷎謙:	Qian:
六二：鳴謙，貞吉。	The second SIX, divided, shows us humility that has made itself recognised. With firm correctness there will be good fortune.
象傳:	Xiang Zhuan:
鳴謙貞吉，中心得也。	'The good fortune consequent on being firm and correct, where the humility has made itself recognised, is owing to the possessor's having (the virtue) in the core of his heart.
4 ䷎謙:	Qian:
九三：勞謙，君子有終，吉。	The third NINE, undivided, shows the superior man of (acknowledged) merit. He will maintain his success to the end, and have good fortune.
象傳:	Xiang Zhuan:
勞謙君子，萬民服也。	'The superior man of (acknowledged) merit, and yet humble:' - the myriads of the people will submit to him.
5 ䷎謙:	Qian:
六四：无不利，撝謙。	The fourth SIX, divided, shows one, whose action would be in every way advantageous, stirring up (the more) his humility.
象傳:	Xiang Zhuan:
无不利，撝謙；不違則也。	'One, whose action would be in every way advantageous, stirs up his humility the more:'(but in doing so) he does not act contrary to the (proper) rule.
6 ䷎謙:	Qian:
六五：不富，以其鄰，利用侵伐，无不利。	The fifth SIX, divided, shows one who, without being rich, is able to employ his neighbours. He may advantageously use the force of arms. All his movements will be advantageous.
象傳:	Xiang Zhuan:
利用侵伐，征不服也。	'He may advantageously use the force of arms:' - correcting, that is, those who do not submit.
7 ䷎謙:	Qian:
上六：鳴謙，利用行師，征邑國。	The sixth SIX, divided, shows us humility that has made itself recognised. The subject of it will with advantage put his hosts in motion; but (he will only) punish his own towns and state.
象傳:	Xiang Zhuan:
鳴謙，志未得也。可用行師，征邑國也。	'His humility has made itself recognised:' - (but) all his aims have not yet been attained. He may employ the force of arms, (but only) in correcting (his own) towns and state.'
^yb16 ䷏豫:	Yu:
豫：利建侯，行師。	Yu indicates that, (in the state which it implies), feudal princes may be set up, and the hosts put in motion, with advantage.
彖傳:	Tuan Zhuan:
豫，剛應而志行，順以動，豫。	In Yu we see the strong (line) responded to by all the others, and the will (of him whom it represents) being carried out; and (also) docile obedience employing movement (for its purposes). (From these things comes) Yu (the Condition of harmony and satisfaction). 
豫，順以動，故天地如之，而況建侯行師乎？	In this condition we have docile obedience employing movement (for its purposes), and therefore it is so as between heaven and earth; - how much more will it be so (among men) in 'the setting up of feudal princes and putting the hosts in motion!' 
天地以順動，故日月不過，而四時不忒；	Heaven and earth show that docile obedience in connexion with movement, and hence the sun and moon make no error (in time), and the four seasons do not deviate (from their order). 
聖人以順動，則刑罰清而民服。	The sages show such docile obedience in connexion with their movements, and hence their punishments and penalties are entirely just, and the people acknowledge it by their submission. 
豫之時義大矣哉！	Great indeed are the time and significance indicated in Yu!
象傳:	Xiang Zhuan:
雷出地奮，豫。	(The trigrams for) the earth and thunder issuing from it with its crashing noise form Yu. 
先王以作樂崇德，殷薦之上帝，以配祖考。	The ancient kings, in accordance with this, composed their music and did honour to virtue, presenting it especially and most grandly to God, when they associated with Him (at the service) their highest ancestor and their father.
2 ䷏豫:	Yu:
初六：鳴豫，凶。	The first SIX, divided, shows its subject proclaiming his pleasure and satisfaction. There will be evil.
象傳:	Xiang Zhuan:
初六鳴豫，志窮凶也。	'The (subject of the) first six proclaims his pleasure and satisfaction:' - there will be evil; his wishes have been satisfied to overflowing.
3 ䷏豫:	Yu:
六二：介于石，不終日，貞吉。	The second SIX, divided, shows one who is firm as a rock. (He sees a thing) without waiting till it has come to pass; with his firm correctness there will be good fortune.
象傳:	Xiang Zhuan:
不終日，貞吉；以中正也。	'(He sees a thing) without waiting till it has come to pass; with his firm correctness there will be good fortune:' - this is shown by the central and correct position (of the line).
4 ䷏豫:	Yu:
六三：盱豫，悔。遲有悔。	The third SIX, divided, shows one looking up (for favours), while he indulges the feeling of pleasure and satisfaction. If he would understand!--If he be late in doing so, there will indeed be occasion for repentance.
象傳:	Xiang Zhuan:
盱豫有悔，位不當也。	'He looks up (for favours), while he indulges the feeling of satisfaction; there will be occasion for repentance:' - this is intimated by the position not being the appropriate one.
5 ䷏豫:	Yu:
九四：由豫，大有得。勿疑。朋盍簪。	The fourth NINE, undivided, shows him from whom the harmony and satisfaction come. Great is the success which he obtains. Let him not allow suspicions to enter his mind, and thus friends will gather around him.
象傳:	Xiang Zhuan:
由豫，大有得；志大行也。	'From him the harmony and satisfaction come; great is the success which he obtains:' - his aims take effect on a grand scale.
6 ䷏豫:	Yu:
六五：貞疾，恆不死。	The fifth six, divided, shows one with a chronic complaint, but who lives on without dying.
象傳:	Xiang Zhuan:
六五貞疾，乘剛也。恆不死，中未亡也。	'(The subject of) the fifth six has a chronic complaint:' - this is shown by his being mounted on the strong (line). 'He still lives on without dying:' - he is in the central position, (and its memories of the past) have not yet perished.
7 ䷏豫:	Yu:
上六：冥豫，成有渝，无咎。	The topmost six, divided, shows its subject with darkened mind devoted to the pleasure and satisfaction (of the time); but if he change his course even when (it may be considered as) completed, there will be no error.
象傳:	Xiang Zhuan:
冥豫在上，何可長也。	'With darkened mind devoted to the harmony and satisfaction (of the time),' as shown in the topmost (line): - how can one in such a condition continue long?
^yb17 ䷐隨:	Sui:
隨：元亨利貞，无咎。	Sui indicates that (under its conditions) there will be great progress and success. But it will be advantageous to be firm and correct. There will (then) be no error.
彖傳:	Tuan Zhuan:
隨，剛來而下柔，動而說，隨。	In Sui we see the strong (trigram) come and place itself under the weak; we see (in the two) the attributes of movement and pleasure: - this gives (the idea of) Sui. 
大亨貞，无咎，而天下隨時，隨時之義大矣哉！	'There will be great progress and success; and through firm correctness no error:' - all under heaven will be found following at such a time. Great indeed are the time and significance indicated in Sui.
象傳:	Xiang Zhuan:
澤中有雷，隨；君子以嚮晦入宴息。	(The trigram for the waters of) a marsh and (that for) thunder (hidden) in the midst of it form Sui. The superior man in accordance with this, when it is getting towards dark, enters (his house) and rests.
2 ䷐隨:	Sui:
初九：官有渝，貞吉。出門交有功。	The first NINE, undivided, shows us one changing the object of his pursuit; but if he be firm and correct, there will he good fortune. Going beyond (his own) gate to find associates, he will achieve merit.
象傳:	Xiang Zhuan:
官有渝，從正吉也。	'He is changing the object of his pursuit:' - but if he follow what is correct, there will be good fortune. 
出門交有功，不失也。	'He goes beyond (his own) gate to find associates:' - he will not fail (in the method he pursues).
3 ䷐隨:	Sui:
六二：系小子，失丈夫。	The second SIX, divided, shows us one who cleaves to the little boy, and lets go the man of age and experience.
象傳:	Xiang Zhuan:
係小子，弗兼與也。	'He cleaves to the little boy:' - he cannot be with the two at the same time.
4 ䷐隨:	Sui:
六三：系丈夫，失小子。	The third SIX, divided, shows us one who cleaves to the man of age and experience, and lets go. the little boy. 
隨有求得，利居貞。	Such following will get what it seeks; but it will be advantageous to adhere to what is firm and correct.
象傳:	Xiang Zhuan:
系丈夫，志舍下也。	'He cleaves to the man of age and experience:' - by the decision of his will, he abandons (the youth) below.
5 ䷐隨:	Sui:
九四：隨有獲，貞凶。	The fourth NINE, undivided, shows us one followed and obtaining (adherents). 
有孚在道，以明，何咎。	Though he be firm and correct, there will be evil. If he be sincere (however) in his course, and make that evident, into what error will he fall?
象傳:	Xiang Zhuan:
隨有獲，其義凶也。	'He is followed and obtains adherents:' - according to the idea (of the hexagram), this is evil. 
有孚在道，明功也。	'He is sincere in his course:' - showing his intelligence, and leading to achievement.
6 ䷐隨:	Sui:
九五：孚于嘉，吉。	The fifth NINE, undivided, shows us (the ruler) sincere in (fostering all) that is excellent. There will be good fortune.
象傳:	Xiang Zhuan:
孚于嘉，吉；位正中也。	'He is sincere in fostering what is excellent:' - his position is correct and in the centre.
7 ䷐隨:	Sui:
上六：拘系之，乃從維之。	The topmost SIX, divided, shows us (that sincerity) firmly held and clung to, yea, and bound fast. 
王用亨于西山。	(We see) the king with it presenting his offerings on the western mountain.
象傳:	Xiang Zhuan:
拘系之，上窮也。	'The sincerity is firmly held and clung to, as shown in the topmost line:' - (the idea of the hexagram) has reached its extreme development.
^yb18 ䷑蠱:	Gu:
蠱：元亨，利涉大川。	Gu indicates great progress and success (to him who deals properly with the condition represented by it). 
先甲三日，後甲三日。	There will be advantage in (efforts like that of) crossing the great stream. (He should weigh well, however, the events of) three days before the turning point, and those (to be done) three days after it.
彖傳:	Tuan Zhuan:
蠱，剛上而柔下，巽而止，蠱。	In Gu we have the strong (trigram) above, and the weak one below; we have (below) pliancy, and (above) stopping: - these give the idea of Gu (a Troublous Condition of affairs verging to ruin). 
蠱，元亨，而天下治也。	'Gu indicates great progress and success:' - (through the course shown in it), all under heaven, there will be good order. 
利涉大川，往有事也。	'There will be advantage in crossing the great stream:' - he who advances will encounter the business to be done. 
先甲三日，後甲三日，終則有始，天行也。	'(He should weigh well, however, the events of) three days before (the turning-point), and those (to be done) three days after it:' - the end (of confusion) is the beginning (of order); such is the procedure of Heaven.
象傳:	Xiang Zhuan:
山下有風，蠱；	(The trigram for) a mountain, and below it that for wind, form Gu. 
君子以振民育德。	The superior man, in accordance with this, (addresses himself to) help the people and nourish his own virtue.
2 ䷑蠱:	Gu:
初六：幹父之蠱，有子，考无咎，	The first SIX, divided, shows (a son) dealing with the troubles caused by his father. If he be an (able) son, the father will escape the blame of having erred. 
厲終吉。	The position is perilous, but there will be good fortune in the end.
象傳:	Xiang Zhuan:
幹父之蠱，意承考也。	'He deals with the troubles caused by his father:' - he feels that he has entered into the work of his father.
3 ䷑蠱:	Gu:
九二：幹母之蠱，不可貞。	The second NINE, undivided, shows (a son) dealing with the troubles caused by his mother. He should not (carry) his firm correctness (to the utmost).
象傳:	Xiang Zhuan:
幹母之蠱，得中道也。	'He deals with the troubles caused by his mother:' - he holds to the course of the due mean.
4 ䷑蠱:	Gu:
九三：幹父之蠱，	The third NINE, undivided, shows (a son) dealing with the troubles caused by his father. 
